,open,high,low,adjusted close,volume,RSI_14,STO_14,CHO,returns
2010-03-17,69.84,69.84,68.62,69.3,349780,59.544377233173385,87.49999999999983,274854.4168634787,-0.0028776978417266452
2010-03-18,69.24,69.37,68.39,69.2,298979,58.79660172238529,80.46875000000003,303772.959520841,-0.0014430014430013571
2010-03-19,69.01,69.4,68.08,68.5,238983,53.71170493308421,53.124999999999936,260336.62321348675,-0.010115606936416222
2010-03-22,68.0,68.45,67.3,68.45,239942,53.35674779453677,47.91666666666679,295245.4289774336,-0.0007299270072992359
2010-03-23,68.79,68.89,68.4,68.89,237008,56.10579096306218,66.24999999999999,358097.446882918,0.006428049671292957
2010-03-24,68.89,68.89,67.9,68.28,209152,51.56809238730903,23.655913978494507,335794.59172725584,-0.008854695892001718
2010-03-25,68.99,68.99,67.68,67.7,323083,47.62408733707605,0.0,196483.68393368647,-0.008494434680726415
2010-03-26,68.12,68.3,67.36,68.3,215611,51.73638187066003,29.999999999999716,190234.20493325498,0.008862629246676468
2010-03-29,68.36,69.5,68.3,69.5,258942,58.71761399014379,89.99999999999986,252774.2176209651,0.017569546120058677
2010-03-30,69.66,69.75,69.03,69.5,267964,58.71761399014379,100.0,281431.3494923143,0.0
2010-03-31,68.45,70.0,68.45,70.0,294849,61.41468497791406,100.0,361385.64439492766,0.007194244604316502
2010-04-01,70.02,70.69,70.02,70.6,259498,64.41878437406143,100.0,421626.19899286237,0.008571428571428452
2010-04-05,70.61,71.02,70.48,70.75,191609,65.14929824586913,100.0,407940.40778357536,0.0021246458923513956
2010-04-06,70.4,71.14,70.4,70.45,421774,62.39037291816602,90.1639344262296,249190.61091787834,-0.004240282685512353
2010-04-07,70.42,70.59,69.96,70.15,110663,59.66914629198992,80.32786885245919,147621.21928836778,-0.004258339247693366
2010-04-08,69.9,71.3,69.9,71.3,195035,65.82294200116846,100.0,154706.58459553402,0.016393442622950616
2010-04-09,71.3,71.3,70.55,71.0,454826,63.11734875983013,91.66666666666673,172484.38089432754,-0.0042075736325385416
2010-04-12,70.98,70.98,69.88,70.1,281691,55.718102645991884,66.66666666666653,110299.34475344047,-0.012676056338028263
2010-04-13,70.15,70.44,69.43,70.25,354742,56.63064930237988,70.83333333333337,145238.38908635732,0.0021398002853068032
2010-04-14,70.48,70.48,69.87,70.45,226018,57.87708727562245,76.388888888889,211169.3740865318,0.002846975088967918
2010-04-15,70.45,70.45,69.78,69.78,257682,52.439845497948525,49.33333333333347,136954.19757873658,-0.009510290986515235
2010-04-16,69.5,69.5,68.31,68.84,296376,45.92165243120277,0.0,83841.2223825613,-0.013470908569790718
2010-04-19,68.33,68.77,67.74,68.5,575432,43.800925039393896,0.0,141593.277185007,-0.004938988959907076
2010-04-20,69.0,69.2,68.49,68.7,200894,45.398308550486036,7.1428571428572525,126238.49847725686,0.0029197080291971655
2010-04-22,68.0,68.8,67.47,68.8,298866,46.22139275692752,10.714285714285623,203574.4982352443,0.0014556040756912303
2010-04-23,68.7,69.05,68.35,68.95,475699,47.49981681008393,16.07142857142869,324818.58920576517,0.0021802325581397053
2010-04-26,69.0,69.15,68.26,68.33,304235,42.95454727175159,0.0,263314.7245422108,-0.008992023205221189
2010-04-27,67.92,67.93,66.0,66.0,623204,30.96330986196829,0.0,15924.168585101143,-0.03409922435240742
2010-04-28,66.25,66.65,65.41,66.01,582666,31.052271665646884,0.1886792452831155,-92709.15335670207,0.00015151515151523576
2010-04-29,66.51,67.45,66.34,67.45,405725,42.53564159427824,29.00000000000006,372.36524498835206,0.021814876533858385
2010-04-30,67.19,67.32,66.55,66.92,698800,39.90151387834391,20.674157303370812,29754.507006056607,-0.007857672349888878
2010-05-03,66.92,67.27,66.24,66.8,315550,39.30796773059032,17.977528089887564,47842.53302956186,-0.0017931858936043321
2010-05-04,66.39,66.82,64.07,64.3,556085,29.47198171785283,0.0,-96446.68742631935,-0.03742514970059885
2010-05-05,63.91,65.07,63.11,64.8,320773,33.07873261029188,9.124087591240869,-72761.78979483806,0.007776049766718529
2010-05-06,64.0,64.92,60.5,63.2,387683,28.122583699610516,0.0,-29107.89397453051,-0.024691358024691246
2010-05-07,63.2,63.37,61.22,62.5,754766,26.268244114621425,0.0,37193.27406380884,-0.011075949367088667
2010-05-10,65.59,65.7,64.48,65.35,359659,42.804211477595054,44.186046511627794,109711.67929276731,0.04559999999999986
2010-05-11,64.2,65.21,63.23,63.23,295534,36.28521921723492,11.317829457364288,35370.96513254382,-0.03244070390206577
2010-05-12,63.99,64.9,63.99,64.9,161589,43.57524315194655,37.20930232558147,53157.99432767555,0.02641151352206239
2010-05-13,64.7,64.8,64.2,64.34,336770,41.84621837288891,31.560891938250496,-1546.8871525889263,-0.008628659476117129
2010-05-14,63.5,63.59,62.35,62.9,270106,37.703355577195666,8.080808080808048,-33488.75215190463,-0.022381100404103238
2010-05-17,63.0,63.0,61.39,62.4,236319,36.357404121478304,0.0,-24363.069258369505,-0.007949125596184436
2010-05-18,62.79,62.99,60.2,60.45,412280,31.616962267004006,0.0,-126086.05029586703,-0.03124999999999989
2010-05-19,59.62,60.14,58.57,59.19,396971,28.986998187106728,0.0,-182786.64479878638,-0.020843672456575812
2010-05-20,57.45,59.1,57.0,57.98,696034,26.69089052137273,0.0,-204129.73241675738,-0.020442642338232786
2010-05-21,58.01,60.2,57.57,60.2,253690,36.61176494297445,30.122116689280958,-113584.2016771324,0.038289065194894834
2010-05-24,60.1,60.31,59.2,59.2,257077,34.3563291308832,16.553595658073355,-148014.23894936405,-0.01661129568106312
2010-05-25,57.59,58.7,57.23,58.7,368620,33.25326985530044,9.769335142469556,-31355.232474425808,-0.008445945945945943
2010-05-26,60.19,60.19,58.8,59.84,299505,38.13065597620259,25.23744911804623,66525.10981728137,0.019420783645655915
2010-05-27,60.4,61.7,60.4,61.7,404536,45.17051677901293,50.47489823609237,229235.33077140898,0.03108288770053469
2010-05-28,62.4,62.4,60.7,61.4,298606,44.29505577205725,49.42196531791904,258192.38039641827,-0.004862236628849326
2010-05-31,61.5,62.42,61.5,62.42,420997,47.98622314809792,64.16184971098264,380520.00247970223,0.016612377850163007
2010-06-01,61.59,62.44,61.06,61.6,237221,45.38271561479686,56.9182389937107,379561.82591285184,-0.013136815123357848
2010-06-02,61.39,62.7,61.39,62.7,407991,49.35247354961938,95.93495934959358,474479.542234336,0.017857142857142794
2010-06-04,61.7,61.91,60.97,61.12,154092,44.36455722605141,66.52542372881348,436793.38075847644,-0.025199362041467444
2010-06-07,61.0,62.09,60.3,60.45,439055,42.40727694668099,52.330508474576334,265381.80090851616,-0.010962041884816642
2010-06-08,60.9,61.34,60.43,61.3,466393,45.68139463551778,70.33898305084738,306485.07829988934,0.014061207609594506
2010-06-09,61.52,62.05,60.95,61.0,532439,44.71519076379974,63.98305084745761,141426.49457736127,-0.004893964110929794
2010-06-10,61.7,62.6,61.7,62.5,181311,50.36778445034573,94.99999999999993,105915.46839596052,0.024590163934426146
2010-06-11,61.99,63.2,61.8,63.2,252020,52.79347528614432,100.0,161947.73328575492,0.011200000000000099
2010-06-14,63.35,63.75,62.75,62.87,464513,51.51524777252078,92.66666666666654,57819.813169237226,-0.005221518987341911
2010-06-15,63.31,64.01,63.15,64.01,179176,55.521629891829186,100.0,66976.22646982223,0.018132654684269278
2010-06-16,63.53,64.53,63.5,64.2,268175,56.171663201332635,100.0,95285.23683030717,0.002968286205280446
2010-06-17,64.2,64.59,63.44,64.1,557592,55.7101836940897,97.3333333333331,124430.56064537726,-0.0015576323987540608
2010-06-18,64.09,64.41,63.59,64.2,347013,56.09860065322027,100.0,178901.88937579934,0.0015600624024962872
2010-06-21,64.97,65.0,63.9,64.4,144087,56.91248083513084,100.0,180754.00085532106,0.0031152647975078995
2010-06-22,64.36,65.17,64.01,64.35,207720,56.629828842780285,98.73417721518959,137730.7861947352,-0.0007763975155281599
2010-06-23,64.5,64.8,63.61,64.8,345740,58.621626171863674,100.0,217617.5814522477,0.006993006993007089
2010-06-24,64.0,64.45,63.21,63.6,235705,51.79098326915758,72.41379310344834,202693.6420487389,-0.01851851851851849
2010-06-25,63.4,64.45,63.13,64.45,354358,55.726235165531875,90.78947368421066,290911.9721065089,0.013364779874213806
2010-06-28,64.33,64.57,63.63,63.85,81086,52.47030656376217,75.00000000000009,286831.293418332,-0.009309542280837912
2010-06-29,62.94,62.94,61.15,61.63,165238,42.56155270822985,0.0,234707.66355281137,-0.034768989819890295
