,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-05-26,60.19,60.19,58.8,59.84,59.84,299505,0.0,1.0
2010-05-27,60.4,61.7,60.4,61.7,61.7,404536,0.0,1.0
2010-05-28,62.4,62.4,60.7,61.4,61.4,298606,0.0,1.0
2010-05-31,61.5,62.42,61.5,62.42,62.42,420997,0.0,1.0
2010-06-01,61.59,62.44,61.06,61.6,61.6,237221,0.0,1.0
2010-06-02,61.39,62.7,61.39,62.7,62.7,407991,0.0,1.0
2010-06-04,61.7,61.91,60.97,61.12,61.12,154092,0.0,1.0
2010-06-07,61.0,62.09,60.3,60.45,60.45,439055,0.0,1.0
2010-06-08,60.9,61.34,60.43,61.3,61.3,466393,0.0,1.0
2010-06-09,61.52,62.05,60.95,61.0,61.0,532439,0.0,1.0
2010-06-10,61.7,62.6,61.7,62.5,62.5,181311,0.0,1.0
2010-06-11,61.99,63.2,61.8,63.2,63.2,252020,0.0,1.0
2010-06-14,63.35,63.75,62.75,62.87,62.87,464513,0.0,1.0
2010-06-15,63.31,64.01,63.15,64.01,64.01,179176,0.0,1.0
2010-06-16,63.53,64.53,63.5,64.2,64.2,268175,0.0,1.0
2010-06-17,64.2,64.59,63.44,64.1,64.1,557592,0.0,1.0
2010-06-18,64.09,64.41,63.59,64.2,64.2,347013,0.0,1.0
2010-06-21,64.97,65.0,63.9,64.4,64.4,144087,0.0,1.0
2010-06-22,64.36,65.17,64.01,64.35,64.35,207720,0.0,1.0
2010-06-23,64.5,64.8,63.61,64.8,64.8,345740,0.0,1.0
2010-06-24,64.0,64.45,63.21,63.6,63.6,235705,0.0,1.0
2010-06-25,63.4,64.45,63.13,64.45,64.45,354358,0.0,1.0
2010-06-28,64.33,64.57,63.63,63.85,63.85,81086,0.0,1.0
2010-06-29,62.94,62.94,61.15,61.63,61.63,165238,0.0,1.0
2010-06-30,61.54,62.15,60.37,60.37,60.37,261802,0.0,1.0
2010-07-01,60.72,60.9,59.49,60.62,60.62,530881,0.0,1.0
2010-07-02,60.66,61.34,60.14,60.9,60.9,422210,0.0,1.0
2010-07-05,60.21,60.9,60.13,60.39,60.39,131344,0.0,1.0
2010-07-06,61.11,61.74,60.76,61.6,61.6,124100,0.0,1.0
2010-07-07,61.6,62.8,61.34,62.8,62.8,634112,0.0,1.0
2010-07-08,63.03,63.1,62.3,63.1,63.1,342900,0.0,1.0
2010-07-12,62.9,63.31,62.25,62.5,62.5,451503,0.0,1.0
2010-07-13,62.75,63.25,62.6,63.25,63.25,177668,0.0,1.0
2010-07-14,62.5,63.07,62.5,63.05,63.05,349089,0.0,1.0
2010-07-15,62.93,63.05,62.31,63.05,63.05,200991,0.0,1.0
2010-07-16,62.6,62.83,61.66,61.85,61.85,185051,0.0,1.0
2010-07-19,61.94,62.8,61.94,62.8,62.8,270533,0.0,1.0
2010-07-20,62.68,63.89,62.25,63.8,63.8,496829,0.0,1.0
2010-07-21,64.2,64.46,63.54,63.9,63.9,269140,0.0,1.0
2010-07-22,64.58,65.63,64.56,65.3,65.3,419408,0.0,1.0
2010-07-23,65.3,65.99,64.8,65.99,65.99,502552,0.0,1.0
2010-07-26,65.73,66.0,65.51,65.99,65.99,178302,0.0,1.0
2010-07-27,66.1,66.47,65.72,66.13,66.13,295812,0.0,1.0
2010-07-28,66.13,66.44,65.79,66.19,66.19,206516,0.0,1.0
2010-07-29,66.5,66.81,65.95,66.5,66.5,326315,0.0,1.0
2010-07-30,66.44,66.99,65.62,66.87,66.87,624930,0.0,1.0
2010-08-02,68.85,68.85,67.32,68.31,68.31,180061,0.0,1.0
2010-08-03,68.0,68.0,67.29,67.63,67.63,199675,0.0,1.0
2010-08-04,67.73,67.87,66.92,67.7,67.7,198704,0.0,1.0
2010-08-05,67.62,68.05,67.41,68.05,68.05,193257,0.0,1.0
2010-08-06,67.35,67.88,67.05,67.7,67.7,428120,0.0,1.0
2010-08-09,67.79,67.85,67.13,67.3,67.3,427213,0.0,1.0
2010-08-10,66.65,66.8,66.35,66.8,66.8,322653,0.0,1.0
2010-08-11,66.3,66.3,64.09,65.1,65.1,227649,0.0,1.0
2010-08-12,65.2,65.49,64.7,65.49,65.49,566480,0.0,1.0
2010-08-13,65.51,65.89,65.44,65.5,65.5,601800,0.0,1.0
2010-08-16,65.5,66.2,65.29,66.12,66.12,470650,0.0,1.0
2010-08-17,66.13,67.15,66.13,67.15,67.15,489914,0.0,1.0
2010-08-18,67.21,67.21,66.39,66.98,66.98,191470,0.0,1.0
2010-08-19,66.94,67.11,66.14,66.4,66.4,469660,0.0,1.0
2010-08-20,66.02,66.27,65.68,66.2,66.2,307930,0.0,1.0
2010-08-23,66.4,66.48,65.32,65.32,65.32,164398,0.0,1.0
2010-08-24,63.82,65.0,63.82,64.8,64.8,320496,0.0,1.0
2010-08-25,64.8,64.8,63.6,64.49,64.49,768465,0.0,1.0
2010-08-26,64.8,65.05,63.29,63.34,63.34,478946,0.0,1.0
2010-08-27,63.5,65.15,63.3,65.15,65.15,283250,0.0,1.0
2010-08-30,65.0,65.0,63.7,63.73,63.73,206841,0.0,1.0
2010-08-31,63.65,64.59,63.6,64.5,64.5,324656,0.0,1.0
2010-09-01,64.7,66.35,64.7,66.28,66.28,451994,0.0,1.0
2010-09-02,66.19,66.47,65.73,66.3,66.3,430956,0.0,1.0
2010-09-03,66.9,67.04,65.74,66.0,66.0,217916,0.0,1.0
2010-09-06,66.0,66.2,65.65,66.1,66.1,92149,0.0,1.0
2010-09-08,65.65,65.8,65.43,65.8,65.8,198340,0.0,1.0
2010-09-09,65.96,66.15,65.63,66.0,66.0,284280,0.0,1.0
2010-09-10,66.0,66.19,65.73,66.19,66.19,212359,0.0,1.0
2010-09-13,66.62,67.39,66.59,67.36,67.36,417770,0.0,1.0
2010-09-14,67.39,67.4,66.83,66.97,66.97,320745,0.0,1.0
